ciudad,departamento,POPULATION
Lehmann,Castellanos,2416
Llambi Campbell,La Capital,2260
Logroño,Nueve de Julio,630
Loma Alta,San Jerónimo,225
López (Est. San Martín de Tours),San Jerónimo,1368
Los Amores,Vera,1052
Los Cardos,San Martín,1310
Los Laureles,General Obligado,364
Los Molinos,Caseros,1832
Los Muchachos - La Alborada,Rosario,129
Los Nogales,Caseros,152
Los Quirquinchos,Caseros,2462
Los Zapallos,Garay,873
Lucio V. López,Iriondo,485
Luis Palacios (Est. La Salada),San Lorenzo,836
Maciel,San Jerónimo,5634
Maggiolo,General López,1701
Malabrigo,General Obligado,6734
Marcelino Escalada,San Justo,1646
Margarita,Vera,3534
María Juana,Castellanos,4853
María Luisa,Las Colonias,579
María Susana,San Martín,3197
María Teresa,General López,3523
Matilde,Las Colonias,754
Máximo Paz (Est. Paz),Constitución,3441
Melincué (Est. San Urbano),General López,2139
Miguel Torres,General López,373
Moisés Ville,San Cristóbal,2318
Monigotes,San Cristóbal,347
Monje,San Jerónimo,1838
Montefiore,Nueve de Julio,146
Monte Flores,Rosario,166
Montes de Oca,Belgrano,2655
Monte Vera,La Capital,5726
Murphy,General López,3630
Ñanducita,San Cristóbal,79
Naré,San Justo,341
Nelson,La Capital,4206
Nueva Lehmann,Castellanos,90
Nuevo Torino,Las Colonias,425
Oliveros,Iriondo,3800
Palacios,San Cristóbal,245
Paraje 29,Vera,185
Paraje Chaco Chico,La Capital,139
Paraje La Costa,La Capital,67
Paraje San Manuel,General Obligado,164
Pavón,Constitución,876
Pavón Arriba,Constitución,1834
Pedro Gómez Cello,San Justo,554
Pérez,Rosario,26448
Peyrano,Constitución,2517
Piamonte,San Martín,3336
Pilar,Las Colonias,4705
Piñero (Est. Erasto),Rosario,1146
Plaza Clucellas,Castellanos,1530
Plaza Matilde,Las Colonias,29
Plaza Saguier,Castellanos,262
Pozo Borrado,Nueve de Julio,980
Pozo de los Indios,Vera,440
Presidente Roca,Castellanos,524
Progreso,Las Colonias,2118
Providencia,Las Colonias,663
Pueblo Andino,Iriondo,1784
Pueblo Esther,Rosario,6789
Pueblo Marini,Castellanos,51
Pueblo Muñoz (Est. Bernard),Rosario,497
Pueblo Santa Lucía,Vera,185
Pueblo Uranga,Rosario,856
Puerto Aragón,San Jerónimo,213
Puerto Arroyo Seco,Rosario,413
Puerto General San Martín,San Lorenzo,13243
Puerto Reconquista,General Obligado,1144
Pujato,San Lorenzo,3370
Rafaela,Castellanos,91571
Ramayón,San Justo,550
Ramona,Castellanos,1694
Reconquista,General Obligado,70549
Recreo,La Capital,12774
Ricardone,San Lorenzo,2570
Rincón Potrero,La Capital,589
Roldán,San Lorenzo,14113
Romang,San Javier,7755
Rosario,Rosario,948312
Rueda,Constitución,471
Rufino,General López,18727
Saladero Mariano Cabal,Garay,588
Salto Grande,Iriondo,1944
San Agustín,Las Colonias,630
San Antonio,Castellanos,272
San Antonio de Obligado,General Obligado,2579
San Bernardo,Nueve de Julio,228
San Bernardo,San Justo,27
San Carlos Centro,Las Colonias,10717
San Carlos Norte,Las Colonias,812
San Carlos Sud,Las Colonias,1927
San Cristóbal,San Cristóbal,14389
Sancti Spiritu,General López,3433
San Eduardo,General López,928
San Eugenio,San Jerónimo,79
San Fabián,San Jerónimo,820
Sanford,Caseros,1810
San Francisco de Santa Fe,General López,279
San Genaro,San Jerónimo,4070
San Genaro Norte,San Jerónimo,4661
San Gregorio,General López,4291
San Guillermo,San Cristóbal,6747
San Javier,San Javier,13604
San Jerónimo del Sauce,Las Colonias,742
San Jerónimo Norte,Las Colonias,5962
San Jerónimo Sud,San Lorenzo,2641
San Jorge,San Martín,17615
San José de la Esquina,Caseros,6775
San José del Rincón,La Capital,10176
San Justo,San Justo,21624
San Lorenzo,San Lorenzo,45958
San Mariano,Las Colonias,218
San Martín de las Escobas,San Martín,2299
San Martín Norte,San Justo,563
Santa Clara de Buena Vista,Las Colonias,2540
Santa Clara de Saguier,Castellanos,2117
Santa Fe,La Capital,391164
Santa Isabel,General López,4266
Santa Margarita,Nueve de Julio,993
Santa Rosa de Calchines,Garay,3435
Santa Teresa,Constitución,3039
Santo Domingo,Las Colonias,1470
Santo Tomé,La Capital,65684
Santurce,San Cristóbal,32
San Vicente,Castellanos,5655
Sa Pereira,Las Colonias,1533
Sargento Cabral,Constitución,1007
Sarmiento,Las Colonias,1098
Sastre,San Martín,5425
Sauce Viejo,La Capital,7953
Serodino,Iriondo,3263
Silva (Est. Abipones),San Justo,360
Soldini,Rosario,2577
Soledad,San Cristóbal,1083
Stephenson,Constitución,54
Suardi,San Cristóbal,6080
Sunchales,Castellanos,20537
Susana,Castellanos,1002
Tacuarendí (Emb. Kilómetro 421),General Obligado,2586
Tacural,Castellanos,1169
Tartagal (Est. El Tajamar),Vera,1599
Teodelina,General López,5933
Theobald,Constitución,421
Timbúes,San Lorenzo,3694
Toba,Vera,266
Tortugas,Belgrano,2234
Tostado,Nueve de Julio,14582
Totoras,Iriondo,9054
Traill,San Martín,65
Venado Tuerto,General López,75437
Vera (Est. Gobernador Vera),Vera,19185
Vera y Pintado (Est. Guaraníes),San Justo,997
Videla,San Justo,2027
Vila,Castellanos,1405
Villa Amelia,Rosario,835
Villa Ana,General Obligado,2696
Villa Cañás,General López,8821
Villa Constitución,Constitución,47374
Villada,Caseros,1213
Villa del Plata,Rosario,259
Villa Eloísa,Iriondo,2820
Villa Elvira,San Lorenzo,297
Villa Gobernador Gálvez,Rosario,80769
Villa Guillermina,General Obligado,4555
Villa Josefina,Castellanos,112
Villa la Rivera (Comuna Oliveros) (Villa La Ribera),Iriondo,82
Villa la Rivera (Comuna Pueblo Andino) (Villa La Ribera),Iriondo,326
Villa Laura (Est. Constituyentes),La Capital,268
Villa Minetti,Nueve de Julio,4876
Villa Mugueta,San Lorenzo,2139
Villa Ocampo,General Obligado,15037
Villa San José,Castellanos,220
Villa Saralegui,San Cristóbal,513
Villa Trinidad,San Cristóbal,2606
Virginia,Castellanos,151
Wheelwright,General López,5733
Wildermuth (Est. Granadero B. Bustos),San Martín,155
Zavalla,Rosario,4966
Zenón Pereyra,Castellanos,1637
