LOCATION,POPULATION,AREA
VENEZUELA,28222237,912050
URUGUAY,3471726,176215
SURINAME,585714,163820
PERU,32933515,1285216
PARAGUAY,7116303,406752
GUYANA,785787,214969
ECUADOR,17608629,283561
COLOMBIA,50888825,1138910
CHILE,19132249,756102
BRAZIL,212322269,8514877
BOLIVIA,11642688,1098581
ARGENTINA,45119153,2780400
