LOCATION,AREA,POPULATION
ARTIGAS,11928,73378
CANELONES,4536,520187
CERRO LARGO,13648,84698
COLONIA,6106,123203
DURAZNO,11643,57088
FLORES,5144,25050
FLORIDA,10417,67048
LAVALLEJA,10016,58815
MALDONADO,4793,164300
MONTEVIDEO,530,1319108
PAYSANDÚ,13922,113124
RÍO NEGRO,9282,54765
RIVERA,9370,103493
ROCHA,10551,68088
SALTO,14163,124878
SAN JOSÉ,4992,108309
SORIANO,9008,82595
TACUAREMBÓ,15438,90053
TREINTA Y TRES,9676,48134
